#,Player,Yr,Pos,Ht,GP,GS,Goals,Assists,Points,Shots,SHG,ENG,GWG,GTG,OT Goals,Shootout,PPG,PPA,Hat Tricks,FOs,FO won,FO lost,FO pct,Penalties,Pen. Min.,GameMisc,DQ,P-M,PShots,PSAtt,Plus,Minus
7,Addi Scribner,Sr,C,5-7,36,3,2,4,6,52,,1,,1,,,,0,,248,112,136,0.452,4,8,,,-1,,,11,12
4,Alice Sauriol,Fr,F,5-4,36,12,6,9,15,45,,,1,,,,,0,,0,0,0,,6,12,,,7,,1,19,12
34,Sofianna Sundelin,Fr,F,5-7,36,4,1,7,8,50,,,,,,1,,0,,17,13,4,0.765,2,4,,,-6,,,8,14
24,Jaidyn Britt,Fr,D,5-8,8,0,,,0,,,,,,,,,0,,0,0,0,,,,,,1,,,1,
17,Ella Anick,Jr,D,5-6,36,10,3,11,14,58,,,1,,,,1,0,,0,0,0,,4,8,,,-2,,,24,26
39,Maddy Peterson,Sr,F,5-3,33,1,1,4,5,26,,,1,,,,,0,,0,0,0,,6,12,,,-3,,,8,11
13,Taylor Lind,Sr,C,5-7,32,17,7,8,15,76,,,,,,,4,0,,432,196,236,0.454,11,22,,,0,,,18,18
18,Greta Henderson,Fr,F,5-6,30,2,4,3,7,34,,,1,,,,1,0,1,13,7,6,0.538,4,8,,,0,,,8,8
12,Klára Hymlárová,Sr,C,5-4,36,14,8,16,24,94,1,1,1,,,,2,0,1,188,96,92,0.511,6,12,,,1,,1,26,25
28,CC Bowlby,Sr,F,5-4,34,12,6,10,16,70,1,,2,,,,1,0,,59,27,32,0.458,5,21,1,,2,,,19,17
4,Mary Zavoral,So,F,5-7,31,0,2,4,6,21,,1,,,,,,0,,83,38,45,0.458,1,2,,,-3,,,10,13
8,Emma McCauley,So,D,6-1,4,0,,,0,1,,,,,,,,0,,0,0,0,,,,,,,,,1,1
12,Maria Cooper,So,F,5-5,23,1,1,1,2,13,,,,,,,,0,,0,0,0,,3,6,,,-7,,,4,11
24,Haley Maxwell,So,D,5-4,37,9,2,5,7,33,,,,,,,,0,,0,0,0,,4,8,,,-20,,,17,37
9,Kate Haug,So,F,5-6,13,0,,1,1,4,,,,,,,,0,,11,4,7,0.364,2,4,,,-7,,,1,8
2,Maddy Clough,Jr,D,5-3,37,14,1,9,10,53,,,,,,1,1,0,,12,6,6,0.5,4,8,,,-34,,,24,58
22,Maddie Jurgensen,Jr,F,5-10,35,4,2,3,5,19,,,1,,,,1,0,,54,25,29,0.463,1,2,,,-12,,,10,22
20,Marki Oberg,Jr,F,5-4,10,0,1,,1,3,,,,,,,,0,,15,6,9,0.4,,,,,-2,,,2,4
21,Alli Pahl,Jr,D,5-10,37,1,1,1,2,15,,,,,,,,0,,2,0,2,0,2,4,,,-15,,,16,31
11,Abby Promersberger,Jr,F,5-6,36,3,6,2,8,60,,,,,,,,0,,2,0,2,0,5,10,,,-16,,,16,32
16,Lauren Stenslie,Jr,F,5-4,33,13,8,3,11,56,,2,,,,,1,0,,7,3,4,0.429,6,12,,,-27,,,10,37
26,Nicole Vallario,Jr,D,5-5,37,29,5,10,15,63,,,,,,,,0,,0,0,0,,1,2,,,-24,,,15,39
10,Isabel Lippai,Sr,D,5-4,26,1,,1,1,6,,,,,,,,0,,0,0,0,,,,,,-7,,,7,14
23,Brieja Parent,Sr,C,5-4,37,16,3,8,11,53,,,,,,,1,0,,591,300,291,0.508,12,27,,,-25,,,17,42
19,Rachel Golnitz,Jr,D,5-8,32,0,,7,7,16,,,,,,,,0,,0,0,0,,6,12,,,-14,,,16,30
3,Abby Garvin,Fr,F,5-5,7,0,,,0,1,,,,,,,,0,,9,3,6,0.333,,,,,-2,,,,2
18,Ellah Hause,Fr,D,5-6,37,20,5,6,11,36,,,1,,,,2,0,,0,0,0,,8,16,,,-18,,,20,38
27,Keara Parker,Fr,C,5-7,33,4,4,1,5,42,,,1,,,,2,0,,201,85,116,0.423,4,8,,,-14,,,10,24
29,Maddy Helmstetter,Fr,F,5-3,1,0,,,0,,,,,,,,,0,,1,1,0,1,,,,,,,,,
6,Rylee Bartz,Fr,F,5-8,37,20,10,13,23,133,,1,4,,1,,3,0,,13,6,7,0.462,7,14,,,-9,,,27,36
14,Allie Monrean,Sr,C,5-5,37,4,2,1,3,31,,,,,,,,0,,185,88,97,0.476,6,12,,,-18,,,10,28
7,Cara Sajevic,Fr,F,5-3,36,18,4,5,9,58,,,,,,,1,0,,29,13,16,0.448,17,56,2,,-27,,,15,42
15,Ella Boerger,Fr,C,5-7,37,20,11,13,24,93,,,2,,,,2,0,,785,398,387,0.507,7,14,,,-14,,,26,40
17,Maddie Brown,Fr,F,5-9,37,8,6,8,14,57,,,1,,,,,0,,0,0,0,,2,4,,,-14,,,21,35
5,Laine DeVries,Fr,D,5-6,2,0,,1,1,1,,,,,,,,0,,0,0,0,,,,,,0,,,1,1
5,Anna Wilgren,Sr,D,5-5,40,14,2,22,24,77,,,1,,,,1,0,,0,0,0,,5,10,,,30,,,50,20
9,Ava Murphy,Fr,D,5-9,37,0,2,9,11,43,,,,,,,,0,,0,0,0,,15,30,,,30,,,40,10
25,Chayla Edwards,Sr,D,5-9,39,9,1,18,19,53,,,,,,,,0,,0,0,0,,5,10,,,27,,,43,16
17,Britta Curl,Sr,F,5-8,41,22,22,40,62,167,1,,1,,,,4,0,,98,53,45,0.541,12,27,,,55,,,67,12
7,Kelly Gorbatenko,Fr,C,5-11,41,0,7,8,15,56,1,,3,,,,1,0,,190,120,70,0.632,6,12,,,15,,,25,10
11,Cassie Hall,Fr,C,5-6,41,17,19,5,24,116,,,3,,,,3,0,1,570,282,288,0.495,3,6,,,35,,,47,12
22,Laney Potter,Fr,D,5-11,41,3,4,12,16,48,,,1,,,,,0,,2,0,2,0,6,12,,,28,,,43,15
4,Caroline Harvey,So,D,5-8,32,24,5,30,35,92,1,,1,,1,,1,0,,0,0,0,,6,12,,,54,,,64,10
10,Laila Edwards,So,F,6-0,41,17,21,35,56,154,1,3,4,,1,,3,0,1,4,1,3,0.25,6,12,,,49,,,69,20
23,Sarah Wozniewicz,Jr,F,5-7,36,0,11,6,17,81,1,1,,,,,1,0,1,0,0,0,,2,4,,,16,,,24,8
3,Sophie Helgeson,Jr,D,5-8,31,0,3,1,4,23,,,,,,,1,0,1,0,0,0,,,,,,6,,,12,6
18,Marianne Picard,Jr,C,5-6,41,0,6,16,22,77,,,,,,,,0,,464,277,187,0.597,6,12,,,22,,,30,8
24,Katie Kotlowski,Sr,D,5-10,36,0,4,7,11,23,,,,,,,2,0,,0,0,0,,1,2,,,11,,,19,8
6,Lacey Eden,Sr,F,5-8,41,18,27,29,56,181,2,1,5,,1,,9,0,1,59,32,27,0.542,6,15,,,44,,,57,13
26,Casey O'Brien,Sr,C,5-4,41,24,23,50,73,165,,,6,,,,3,0,,858,508,350,0.592,6,12,,,53,,,75,22
28,Maddi Wheeler,Sr,F,5-4,39,4,10,14,24,57,,,1,,,,1,0,,93,43,50,0.462,14,28,,,20,,,34,14
20,Vivian Jungels,So,D,5-7,41,32,5,15,20,59,,,1,,,,,0,,0,0,0,,3,6,,,49,,,65,16
27,Kirsten Simms,So,F,5-5,39,21,33,42,75,142,,,8,,,,6,0,1,16,10,6,0.625,12,24,,,50,,1,72,22
12,Taylor Koeppl,Fr,,5-5,1,0,,,0,,,0,,,,,0,,,0,,,,,,,,,,,,
24,Alexis Poppleton,Fr,,5-3,7,0,,,0,4,,0,1,2,,,0,,,0,,,,,,,,,,,,
27,Kyra Anderson,Fr,,5-2,34,0,1,1,2,29,,0,2,4,,,0,,,0,,,,,,,,,,,,
17,Julianna Herman,Fr,,5-5,35,7,4,7,11,76,2,0,5,10,,,0,,,0,,,,,,,,,,,,
8,Hailey Tullo,Fr,,5-7,35,7,4,10,14,68,,0,3,9,,,0,,,0,,,,,,,,,,,,
19,Brenna Young,Fr,,5-3,17,3,1,3,4,28,,0,3,6,,,0,,,0,,,,,,,,,,,,
