#,Player,Yr,Pos,Ht,GP,GS,Goals,Assists,Points,Shots,SHG,ENG,GWG,GTG,OT Goals,Shootout,PPG,PPA,Hat Tricks,FOs,FO won,FO lost,FO pct,Penalties,Pen. Min.,GameMisc,DQ,P-M,PShots,PSAtt,Plus,Minus
26,Jenessa Gazdik,Fr,D,5-7,33,7,3,4,7,28,,,,,,,1,0,,0,0,0,,4,8,,,-3,,,18,21
8,Charlotte Akervik,Sr,D,5-10,34,31,5,8,13,59,,,,,,,3,0,,0,0,0,,7,17,,,-4,,,23,27
9,Kamryn Van Batavia,Fr,F,6-1,35,0,5,4,9,42,,,1,,,,,0,,0,0,0,,3,6,,,-4,,,15,19
25,Claire Vekich,Jr,F,5-9,37,1,7,6,13,63,,,1,,,,1,0,,4,2,2,0.5,10,20,,,-6,,,18,24
12,Kennedy Bobyck,Sr,F,5-1,38,14,6,11,17,84,1,,1,,,,1,0,,0,0,0,,7,14,,,-9,,1,19,28
13,JuliAnna Gazdik,Fr,D,5-7,38,15,2,10,12,51,,,,,,,1,0,,0,0,0,,5,10,,,-1,,,25,26
20,Mackenzie Bourgerie,Jr,F,5-5,25,0,4,4,8,28,,,1,,,,,0,,64,28,36,0.438,4,8,,,-1,,,10,11
28,Ava Guillemette,Fr,F,5-10,21,0,,3,3,11,,,,,,,,0,,75,42,33,0.56,,,,,-2,,,3,5
22,Sloane Matthews,So,C,5-6,39,7,13,15,28,115,,,3,,,,,0,,423,230,193,0.544,2,4,,,37,,,42,5
28,Sofie Lundin,So,F,5-5,9,0,1,,1,5,,,,,,,,0,,0,0,0,,,,,,4,,,7,3
8,Makenna Webster,Jr,F,5-2,31,11,12,14,26,62,,,2,,,,,0,,8,4,4,0.5,3,6,,,36,,,44,8
7,Emma Peschel,So,D,5-10,36,9,7,16,23,85,,,,,,,2,0,,0,0,0,,2,4,,,34,,,43,9
10,Jenna Buglioni,Sr,C,5-3,35,14,15,23,38,94,3,1,5,,1,,2,0,1,616,328,288,0.532,11,22,,,42,,,52,10
13,Riley Brengman,Sr,D,5-5,39,3,1,12,13,50,,,,,,,,0,,1,0,1,0,7,14,,,44,,,49,5
27,Jordan Baxter,Fr,C,5-7,39,3,5,10,15,72,,,,,,,1,0,,283,164,119,0.58,4,8,,,17,,,27,10
16,Joy Dunne,Fr,F,5-11,39,6,24,18,42,157,,,6,,,,4,0,2,11,6,5,0.545,11,22,,,39,,,45,6
23,Cayla Barnes,Jr,D,5-1,39,14,11,25,36,91,,,,,,,1,0,,1,1,0,1,14,28,,,71,,,79,8
15,Olivia Mobley,Sr,F,5-9,39,4,9,18,27,64,,,2,,,,,0,,6,1,5,0.167,6,12,,,25,,,34,9
19,Lauren Bernard,Sr,D,5-7,39,21,8,15,23,89,1,,2,,,,,0,,0,0,0,,1,2,,,47,,,64,17
