Name,Position,GP,G,A,PTS,PTS/G,PPG,SHG,PIM
Maija Hooyer,D,0,0,0,0,0.00,0,0,0
Ella Ouellette,D,0,0,0,0,0.00,0,0,0
Olivia Parkinson,D,0,0,0,0,0.00,0,0,0
Michaela Presseault,F,0,0,0,0,0.00,0,0,0
Hillary Taylor,D,0,0,0,0,0.00,0,0,0
Hillary Taylor,F,0,0,0,0,0.00,0,0,0
Saije Catcheway,D,1,0,0,0,0.00,0,0,0
Kalli Ivals,D,1,0,0,0,0.00,0,0,0
Avery Lee,F,1,0,0,0,0.00,0,0,0
Madison Tiro,D,1,0,0,0,0.00,0,0,0
Kathy Verth,F,1,0,0,0,0.00,0,0,0
Teagan Gray,F,2,0,0,0,0.00,0,0,0
Sienna Bullen,F,3,0,0,0,0.00,0,0,0
Abby Hooper,F,3,0,0,0,0.00,0,0,6
Kaylie Lucksiri,F,3,0,0,0,0.00,0,0,0
Charlee Van De Peer,D,3,0,0,0,0.00,0,0,0
Skylar Brown,F,4,0,0,0,0.00,0,0,0
Jordanna Connors,D,5,0,0,0,0.00,0,0,2
Sophy Aldred,F,6,0,0,0,0.00,0,0,0
Isabella Greco,F,6,0,0,0,0.00,0,0,0
Nikita Nayak,D,6,0,0,0,0.00,0,0,4
Bailey Oakes,D,6,0,0,0,0.00,0,0,0
Jess Pollard,D,6,0,0,0,0.00,0,0,2
Teeghan Dalby,D,7,0,0,0,0.00,0,0,18
Alicia Juras,F,7,0,0,0,0.00,0,0,0
Kiana Danielson,F,9,0,0,0,0.00,0,0,2
Megan Dyck,F,9,0,0,0,0.00,0,0,0
Erin Lawless,F,9,0,0,0,0.00,0,0,6
Ella Ouellette,D,9,0,0,0,0.00,0,0,0
Marisa Freeman,D,11,0,0,0,0.00,0,0,4
Victoria Solti,F,11,0,0,0,0.00,0,0,2
Madison Giampa,F,12,0,0,0,0.00,0,0,4
Booklyn Brooks,D,13,0,0,0,0.00,0,0,2
Aki Fujiumori,D,16,0,0,0,0.00,0,0,2
Kerrin Kerr,F,16,0,0,0,0.00,0,0,2
Emilie Simmons,F,17,0,0,0,0.00,0,0,2
Mikayla Axford,F,18,0,0,0,0.00,0,0,4
Tahlia Fisher,F,19,0,0,0,0.00,0,0,8
Paige Wagner,D,22,0,0,0,0.00,0,0,0
Jaiden Duncan,D,23,0,0,0,0.00,0,0,8
KayCyn Hernandez,D,24,0,0,0,0.00,0,0,10
Abby Hicks,D,25,0,0,0,0.00,0,0,22
Julia MacDonald,F,25,0,0,0,0.00,0,0,2
Britni Yammine,F,25,0,0,0,0.00,0,0,26
Hannah Ryan,F,27,0,0,0,0.00,0,0,4
Julia Bilous,F,0,0,0,0,0.00,0,0,0
Kallie Clouston,F,0,0,0,0,0.00,0,0,0
Trinity Grove,F,0,0,0,0,0.00,0,0,0
Emily Holmes,D,0,0,0,0,0.00,0,0,0
Lainie Nichols,D,0,0,0,0,0.00,0,0,0
Brooke Norkus,D,0,0,0,0,0.00,0,0,0
Brooklyn Stevely,D,0,0,0,0,0.00,0,0,0
williamson,D,0,0,0,0,0.00,0,0,0
Kate Bumstead,D,3,0,0,0,0.00,0,0,0
Ryann Holbein,D,3,0,0,0,0.00,0,0,0
Polina Goncharova,F,4,0,0,0,0.00,0,0,4
Kalli Hiebert,D,4,0,0,0,0.00,0,0,0
Glory Plett,D,5,0,0,0,0.00,0,0,0
Sophia Anderson,F,8,0,0,0,0.00,0,0,0
Tianna Yaremko,D,8,0,0,0,0.00,0,0,2
Bailey Fiala,D,9,0,0,0,0.00,0,0,0
Mya Healey,F,9,0,0,0,0.00,0,0,8
Jada Leung,F,9,0,0,0,0.00,0,0,2
Kelsey Page,D,15,0,0,0,0.00,0,0,0
Tessa Stewart,F,15,0,0,0,0.00,0,0,0
Reilley Kellner,F,24,0,0,0,0.00,0,0,14
Robyn Short,D,27,0,0,0,0.00,0,0,8
